2,Абаза,Хакасия,Россия
3,Абакан,Хакасия,Россия
4,Абдулино,Оренбургская область,Россия
5,Абинск,Краснодарский край,Россия
6,Агидель,Башкортостан,Россия
7,Агрыз,Татарстан,Россия
8,Адыгейск,Адыгея,Россия
9,Азнакаево,Татарстан,Россия
10,Азов,Ростовская область,Россия
11,Ак-Довурак,Тува,Россия
12,Аксай,Ростовская область,Россия
13,Алагир,Северная Осетия,Россия
14,Алапаевск,Свердловская область,Россия
15,Алатырь,Чувашия,Россия
16,Алдан,Якутия,Россия
17,Алейск,Алтайский край,Россия
18,Александров,Владимирская область,Россия
19,Александровск,Пермский край,Россия
20,Александровск-Сахалинский,Сахалинская область,Россия
21,Алексеевка,Белгородская область,Россия
22,Алексин,Тульская область,Россия
23,Алзамай,Иркутская область,Россия
24,Альметьевск,Татарстан,Россия
25,Амурск,Хабаровский край,Россия
26,Анадырь,Чукотский автономный округ,Россия
27,Анапа,Краснодарский край,Россия
28,Ангарск,Иркутская область,Россия
29,Андреаполь,Тверская область,Россия
30,Анжеро-Судженск,Кемеровская область,Россия
31,Анива,Сахалинская область,Россия
32,Апатиты,Мурманская область,Россия
33,Апрелевка,Московская область,Россия
34,Апшеронск,Краснодарский край,Россия
35,Арамиль,Свердловская область,Россия
36,Аргун,Чечня,Россия
37,Ардатов,Мордовия,Россия
38,Ардон,Северная Осетия,Россия
39,Арзамас,Нижегородская область,Россия
40,Аркадак,Саратовская область,Россия
41,Армавир,Краснодарский край,Россия
42,Арсеньев,Приморский край,Россия
43,Арск,Татарстан,Россия
44,Артём,Приморский край,Россия
45,Артёмовск,Красноярский край,Россия
46,Артёмовский,Свердловская область,Россия
47,Архангельск,Архангельская область,Россия
48,Асбест,Свердловская область,Россия
49,Асино,Томская область,Россия
50,Астрахань,Астраханская область,Россия
51,Аткарск,Саратовская область,Россия
52,Ахтубинск,Астраханская область,Россия
53,Ачинск,Красноярский край,Россия
54,Аша,Челябинская область,Россия
55,Бабаево,Вологодская область,Россия
56,Бабушкин,Бурятия,Россия
57,Бавлы,Татарстан,Россия
58,Багратионовск,Калининградская область,Россия
59,Байкальск,Иркутская область,Россия
60,Баймак,Башкортостан,Россия
61,Бакал,Челябинская область,Россия
62,Баксан,Кабардино-Балкария,Россия
63,Балабаново,Калужская область,Россия
64,Балаково,Саратовская область,Россия
65,Балахна,Нижегородская область,Россия
66,Балашиха,Московская область,Россия
67,Балашов,Саратовская область,Россия
68,Балей,Читинская область,Россия
69,Балтийск,Калининградская область,Россия
70,Барабинск,Новосибирская область,Россия
71,Барнаул,Алтайский край,Россия
72,Барыш,Ульяновская область,Россия
73,Батайск,Ростовская область,Россия
74,Бежецк,Тверская область,Россия
75,Белая Калитва,Ростовская область,Россия
76,Белая Холуница,Кировская область,Россия
77,Белгород,Белгородская область,Россия
78,Белебей,Башкортостан,Россия
79,Белёв,Тульская область,Россия
80,Белинский,Пензенская область,Россия
81,Белово,Кемеровская область,Россия
82,Белогорск,Амурская область,Россия
83,Белозерск,Вологодская область,Россия
84,Белокуриха,Алтайский край,Россия
85,Беломорск,Карелия,Россия
86,Белорецк,Башкортостан,Россия
87,Белореченск,Краснодарский край,Россия
88,Белоусово,Калужская область,Россия
89,Белоярский,Ханты-Мансийский автономный округ,Россия
90,Белый,Тверская область,Россия
91,Бердск,Новосибирская область,Россия
92,Березники,Пермский край,Россия
93,Берёзовский,Кемеровская область,Россия
94,Берёзовский,Свердловская область,Россия
95,Беслан,Северная Осетия,Россия
96,Бийск,Алтайский край,Россия
97,Бикин,Хабаровский край,Россия
98,Билибино,Чукотский автономный округ,Россия
99,Биробиджан,Еврейская автономная область,Россия
100,Бирск,Башкортостан,Россия
101,Бирюсинск,Иркутская область,Россия
102,Бирюч,Белгородская область,Россия
103,Благовещенск,Амурская область,Россия
104,Благовещенск,Башкортостан,Россия
105,Благодарный,Ставропольский край,Россия
106,Бобров,Воронежская область,Россия
107,Богданович,Свердловская область,Россия
108,Богородицк,Тульская область,Россия
109,Богородск,Нижегородская область,Россия
110,Боготол,Красноярский край,Россия
111,Богучар,Воронежская область,Россия
112,Бодайбо,Иркутская область,Россия
113,Бокситогорск,Ленинградская область,Россия
114,Болгар,Татарстан,Россия
115,Бологое,Тверская область,Россия
116,Болотное,Новосибирская область,Россия
117,Болохово,Тульская область,Россия
118,Болхов,Орловская область,Россия
119,Большой Камень,Приморский край,Россия
120,Бор,Нижегородская область,Россия
121,Борзя,Читинская область,Россия
122,Борисоглебск,Воронежская область,Россия
123,Боровичи,Новгородская область,Россия
124,Боровск,Калужская область,Россия
125,Бородино,Красноярский край,Россия
126,Братск,Иркутская область,Россия
127,Бронницы,Московская область,Россия
128,Брянск,Брянская область,Россия
129,Бугульма,Татарстан,Россия
130,Бугуруслан,Оренбургская область,Россия
131,Будённовск,Ставропольский край,Россия
132,Бузулук,Оренбургская область,Россия
133,Буинск,Татарстан,Россия
134,Буй,Костромская область,Россия
135,Буйнакск,Дагестан,Россия
136,Бутурлиновка,Воронежская область,Россия
137,Валдай,Новгородская область,Россия
138,Валуйки,Белгородская область,Россия
139,Велиж,Смоленская область,Россия
140,Великие Луки,Псковская область,Россия
141,Великий Новгород,Новгородская область,Россия
142,Великий Устюг,Вологодская область,Россия
143,Вельск,Архангельская область,Россия
144,Венёв,Тульская область,Россия
145,Верещагино,Пермский край,Россия
146,Верея,Московская область,Россия
147,Верхнеуральск,Челябинская область,Россия
148,Верхний Тагил,Свердловская область,Россия
149,Верхний Уфалей,Челябинская область,Россия
150,Верхняя Пышма,Свердловская область,Россия
151,Верхняя Салда,Свердловская область,Россия
152,Верхняя Тура,Свердловская область,Россия
153,Верхотурье,Свердловская область,Россия
154,Верхоянск,Якутия,Россия
155,Весьегонск,Тверская область,Россия
156,Ветлуга,Нижегородская область,Россия
157,Видное,Московская область,Россия
158,Вилюйск,Якутия,Россия
159,Вилючинск,Камчатский край,Россия
160,Вихоревка,Иркутская область,Россия
161,Вичуга,Ивановская область,Россия
162,Владивосток,Приморский край,Россия
163,Владикавказ,Северная Осетия,Россия
164,Владимир,Владимирская область,Россия
165,Волгоград,Волгоградская область,Россия
166,Волгодонск,Ростовская область,Россия
167,Волгореченск,Костромская область,Россия
168,Волжск,Марий Эл,Россия
169,Волжский,Волгоградская область,Россия
170,Вологда,Вологодская область,Россия
171,Володарск,Нижегородская область,Россия
172,Волоколамск,Московская область,Россия
173,Волосово,Ленинградская область,Россия
174,Волхов,Ленинградская область,Россия
175,Волчанск,Свердловская область,Россия
176,Вольск,Саратовская область,Россия
177,Воркута,Республика Коми,Россия
178,Воронеж,Воронежская область,Россия
179,Ворсма,Нижегородская область,Россия
180,Воскресенск,Московская область,Россия
181,Воткинск,Удмуртская республика,Россия
182,Всеволожск,Ленинградская область,Россия
183,Вуктыл,Республика Коми,Россия
184,Выборг,Ленинградская область,Россия
185,Выкса,Нижегородская область,Россия
186,Высоковск,Московская область,Россия
187,Высоцк,Ленинградская область,Россия
188,Вытегра,Вологодская область,Россия
189,Вышний Волочёк,Тверская область,Россия
190,Вяземский,Хабаровский край,Россия
191,Вязники,Владимирская область,Россия
192,Вязьма,Смоленская область,Россия
193,Вятские Поляны,Кировская область,Россия
194,Гаврилов Посад,Ивановская область,Россия
195,Гаврилов-Ям,Ярославская область,Россия
196,Гагарин,Смоленская область,Россия
197,Гаджиево,Мурманская область,Россия
198,Гай,Оренбургская область,Россия
199,Галич,Костромская область,Россия
200,Гатчина,Ленинградская область,Россия
201,Гвардейск,Калининградская область,Россия
202,Гдов,Псковская область,Россия
203,Геленджик,Краснодарский край,Россия
204,Георгиевск,Ставропольский край,Россия
205,Глазов,Удмуртия,Россия
206,Голицыно,Московская область,Россия
207,Горбатов,Нижегородская область,Россия
208,Горно-Алтайск,Республика Алтай,Россия
209,Горнозаводск,Пермский край,Россия
210,Горняк,Алтайский край,Россия
211,Городец,Нижегородская область,Россия
212,Городище,Пензенская область,Россия
213,Городовиковск,Калмыкия,Россия
214,Гороховец,Владимирская область,Россия
215,Горячий Ключ,Краснодарский край,Россия
216,Грайворон,Белгородская область,Россия
217,Гремячинск,Пермский край,Россия
218,Грозный,Чечня,Россия
219,Грязи,Липецкая область,Россия
220,Грязовец,Вологодская область,Россия
221,Губаха,Пермский край,Россия
222,Губкин,Белгородская область,Россия
223,Губкинский,Ямало-Ненецкий автономный округ,Россия
224,Гудермес,Чечня,Россия
225,Гуково,Ростовская область,Россия
226,Гулькевичи,Краснодарский край,Россия
227,Гурьевск,Калининградская область,Россия
228,Гурьевск,Кемеровская область,Россия
229,Гусев,Калининградская область,Россия
230,Гусиноозёрск,Бурятия,Россия
231,Гусь-Хрустальный,Владимирская область,Россия
232,Давлеканово,Башкортостан,Россия
233,Дагестанские Огни,Дагестан,Россия
234,Далматово,Курганская область,Россия
235,Дальнегорск,Приморский край,Россия
236,Дальнереченск,Приморский край,Россия
237,Данилов,Ярославская область,Россия
238,Данков,Липецкая область,Россия
239,Дегтярск,Свердловская область,Россия
240,Дедовск,Московская область,Россия
241,Демидов,Смоленская область,Россия
242,Дербент,Дагестан,Россия
243,Десногорск,Смоленская область,Россия
244,Дзержинск,Нижегородская область,Россия
245,Дзержинский,Московская область,Россия
246,Дивногорск,Красноярский край,Россия
247,Дигора,Северная Осетия,Россия
248,Димитровград,Ульяновская область,Россия
249,Дмитриев-Льговский,Курская область,Россия
250,Дмитров,Московская область,Россия
251,Дмитровск,Орловская область,Россия
252,Дно,Псковская область,Россия
253,Добрянка,Пермский край,Россия
254,Долгопрудный,Московская область,Россия
255,Долинск,Сахалинская область,Россия
256,Домодедово,Московская область,Россия
257,Донецк,Ростовская область,Россия
258,Донской,Тульская область,Россия
259,Дорогобуж,Смоленская область,Россия
260,Дрезна,Московская область,Россия
261,Дубна,Московская область,Россия
262,Дубовка,Волгоградская область,Россия
263,Дудинка,Красноярский край,Россия
264,Духовщина,Смоленская область,Россия
265,Дюртюли,Башкортостан,Россия
266,Дятьково,Брянская область,Россия
267,Егорьевск,Московская область,Россия
268,Ейск,Краснодарский край,Россия
269,Екатеринбург,Свердловская область,Россия
270,Елабуга,Татарстан,Россия
271,Елец,Липецкая область,Россия
272,Елизово,Камчатский край,Россия
273,Ельня,Смоленская область,Россия
274,Еманжелинск,Челябинская область,Россия
275,Емва,Коми,Россия
276,Енисейск,Красноярский край,Россия
277,Ершов,Саратовская область,Россия
278,Ессентуки,Ставропольский край,Россия
279,Ефремов,Тульская область,Россия
280,Железноводск,Ставропольский край,Россия
281,Железногорск,Красноярский край,Россия
282,Железногорск,Курская область,Россия
283,Железногорск-Илимский,Иркутская область,Россия
284,Железнодорожный,Московская область,Россия
285,Жердевка,Тамбовская область,Россия
286,Жигулёвск,Самарская область,Россия
287,Жиздра,Калужская область,Россия
288,Жирновск,Волгоградская область,Россия
289,Жуков,Калужская область,Россия
290,Жуковка,Брянская область,Россия
291,Жуковский,Московская область,Россия
292,Завитинск,Амурская область,Россия
293,Заводоуковск,Тюменская область,Россия
294,Заволжск,Ивановская область,Россия
295,Заволжье,Нижегородская область,Россия
296,Задонск,Липецкая область,Россия
297,Заинск,Татарстан,Россия
298,Закаменск,Бурятия,Россия
299,Заозёрный,Красноярский край,Россия
300,Заозёрск,Мурманская область,Россия
301,Западная Двина,Тверская область,Россия
302,Заполярный,Мурманская область,Россия
303,Зарайск,Московская область,Россия
304,Заречный,Пензенская область,Россия
305,Заречный,Свердловская область,Россия
306,Заринск,Алтайский край,Россия
307,Звенигово,Марий Эл,Россия
308,Звенигород,Московская область,Россия
309,Зверево,Ростовская область,Россия
310,Зеленогорск,Красноярский край,Россия
311,Зеленогорск,Санкт-Петербург,Россия
312,Зеленоград,Москва,Россия
313,Зеленоградск,Калининградская область,Россия
314,Зеленодольск,Татарстан,Россия
315,Зеленокумск,Ставропольский край,Россия
316,Зерноград,Ростовская область,Россия
317,Зея,Амурская область,Россия
318,Зима,Иркутская область,Россия
319,Златоуст,Челябинская область,Россия
320,Злынка,Брянская область,Россия
321,Змеиногорск,Алтайский край,Россия
322,Знаменск,Астраханская область,Россия
323,Зубцов,Тверская область,Россия
324,Зуевка,Кировская область,Россия
325,Ивангород,Ленинградская область,Россия
326,Иваново,Ивановская область,Россия
327,Ивантеевка,Московская область,Россия
328,Ивдель,Свердловская область,Россия
329,Игарка,Красноярский край,Россия
330,Ижевск,Удмуртия,Россия
331,Избербаш,Дагестан,Россия
332,Изобильный,Ставропольский край,Россия
333,Иланский,Красноярский край,Россия
334,Инза,Ульяновская область,Россия
335,Инсар,Мордовия,Россия
336,Инта,Республика Коми,Россия
337,Ипатово,Ставропольский край,Россия
338,Ирбит,Свердловская область,Россия
339,Иркутск,Иркутская область,Россия
340,Исилькуль,Омская область,Россия
341,Искитим,Новосибирская область,Россия
342,Истра,Московская область,Россия
343,Ишим,Тюменская область,Россия
344,Ишимбай,Башкортостан,Россия
345,Йошкар-Ола,Марий Эл,Россия
346,Кадников,Вологодская область,Россия
347,Казань,Татарстан,Россия
348,Калач,Воронежская область,Россия
349,Калач-на-Дону,Волгоградская область,Россия
350,Калачинск,Омская область,Россия
351,Калининград,Калининградская область,Россия
352,Калининск,Саратовская область,Россия
353,Калтан,Кемеровская область,Россия
354,Калуга,Калужская область,Россия
355,Калязин,Тверская область,Россия
356,Камбарка,Удмуртия,Россия
357,Каменка,Пензенская область,Россия
358,Каменногорск,Ленинградская область,Россия
359,Каменск-Уральский,Свердловская область,Россия
360,Каменск-Шахтинский,Ростовская область,Россия
361,Камень-на-Оби,Алтайский край,Россия
362,Камешково,Владимирская область,Россия
363,Камызяк,Астраханская область,Россия
364,Камышин,Волгоградская область,Россия
365,Камышлов,Свердловская область,Россия
366,Канаш,Чувашия,Россия
367,Кандалакша,Мурманская область,Россия
368,Канск,Красноярский край,Россия
369,Карабаново,Владимирская область,Россия
370,Карабаш,Челябинская область,Россия
371,Карабулак,Ингушетия,Россия
372,Карасук,Новосибирская область,Россия
373,Карачаевск,Карачаево-Черкесия,Россия
374,Карачев,Брянская область,Россия
375,Каргат,Новосибирская область,Россия
376,Каргополь,Архангельская область,Россия
377,Карпинск,Свердловская область,Россия
378,Карталы,Челябинская область,Россия
379,Касимов,Рязанская область,Россия
380,Касли,Челябинская область,Россия
381,Каспийск,Дагестан,Россия
382,Катав-Ивановск,Челябинская область,Россия
383,Катайск,Курганская область,Россия
384,Качканар,Свердловская область,Россия
385,Кашин,Тверская область,Россия
386,Кашира,Московская область,Россия
387,Кедровый,Томская область,Россия
388,Кемерово,Кемеровская область,Россия
389,Кемь,Карелия,Россия
390,Кизел,Пермский край,Россия
391,Кизилюрт,Дагестан,Россия
392,Кизляр,Дагестан,Россия
393,Кимовск,Тульская область,Россия
394,Кимры,Тверская область,Россия
395,Кингисепп,Ленинградская область,Россия
396,Кинель,Самарская область,Россия
397,Кинешма,Ивановская область,Россия
398,Киреевск,Тульская область,Россия
399,Киренск,Иркутская область,Россия
400,Киржач,Владимирская область,Россия
401,Кириллов,Вологодская область,Россия
402,Кириши,Ленинградская область,Россия
404,Киров,Кировская область,Россия
405,Кировград,Свердловская область,Россия
406,Кирово-Чепецк,Кировская область,Россия
407,Кировск,Ленинградская область,Россия
408,Кировск,Мурманская область,Россия
409,Кирс,Кировская область,Россия
410,Кирсанов,Тамбовская область,Россия
411,Киселёвск,Кемеровская область,Россия
412,Кисловодск,Ставропольский край,Россия
413,Климовск,Московская область,Россия
414,Клин,Московская область,Россия
415,Клинцы,Брянская область,Россия
416,Княгинино,Нижегородская область,Россия
417,Ковдор,Мурманская область,Россия
418,Ковров,Владимирская область,Россия
419,Ковылкино,Мордовия,Россия
420,Когалым,Ханты-Мансийский автономный округ,Россия
421,Кодинск,Красноярский край,Россия
422,Козельск,Калужская область,Россия
423,Козловка,Чувашия,Россия
424,Козьмодемьянск,Марий Эл,Россия
425,Кола,Мурманская область,Россия
426,Кологрив,Костромская область,Россия
427,Коломна,Московская область,Россия
428,Колпашево,Томская область,Россия
429,Колпино,Санкт-Петербург,Россия
430,Кольчугино,Владимирская область,Россия
431,Коммунар,Ленинградская область,Россия
432,Комсомольск,Ивановская область,Россия
433,Комсомольск-на-Амуре,Хабаровский край,Россия
434,Конаково,Тверская область,Россия
435,Кондопога,Карелия,Россия
436,Кондрово,Калужская область,Россия
437,Константиновск,Ростовская область,Россия
438,Копейск,Челябинская область,Россия
439,Кораблино,Рязанская область,Россия
440,Кореновск,Краснодарский край,Россия
441,Коркино,Челябинская область,Россия
442,Королёв,Московская область,Россия
443,Короча,Белгородская область,Россия
444,Корсаков,Сахалинская область,Россия
445,Коряжма,Архангельская область,Россия
446,Костерёво,Владимирская область,Россия
447,Костомукша,Карелия,Россия
448,Кострома,Костромская область,Россия
449,Котельники,Московская область,Россия
450,Котельниково,Волгоградская область,Россия
451,Котельнич,Кировская область,Россия
452,Котлас,Архангельская область,Россия
453,Котово,Волгоградская область,Россия
454,Котовск,Тамбовская область,Россия
455,Кохма,Ивановская область,Россия
456,Красавино,Вологодская область,Россия
457,Красноармейск,Московская область,Россия
458,Красноармейск,Саратовская область,Россия
459,Красновишерск,Пермский край,Россия
460,Красногорск,Московская область,Россия
461,Краснодар,Краснодарский край,Россия
462,Краснозаводск,Московская область,Россия
463,Краснознаменск,Калининградская область,Россия
464,Краснознаменск,Московская область,Россия
465,Краснокаменск,Читинская область,Россия
466,Краснокамск,Пермский край,Россия
467,Краснослободск,Волгоградская область,Россия
468,Краснослободск,Мордовия,Россия
469,Краснотурьинск,Свердловская область,Россия
470,Красноуральск,Свердловская область,Россия
471,Красноуфимск,Свердловская область,Россия
472,Красноярск,Красноярский край,Россия
473,Красный Кут,Саратовская область,Россия
474,Красный Сулин,Ростовская область,Россия
475,Красный Холм,Тверская область,Россия
476,Кремёнки,Калужская область,Россия
477,Кронштадт,Санкт-Петербург,Россия
478,Кропоткин,Краснодарский край,Россия
479,Крымск,Краснодарский край,Россия
480,Кстово,Нижегородская область,Россия
481,Кубинка,Московская область,Россия
482,Кувандык,Оренбургская область,Россия
483,Кувшиново,Тверская область,Россия
484,Кудымкар,Пермский край,Россия
485,Кузнецк,Пензенская область,Россия
486,Куйбышев,Новосибирская область,Россия
487,Кулебаки,Нижегородская область,Россия
488,Кумертау,Башкортостан,Россия
489,Кунгур,Пермский край,Россия
490,Купино,Новосибирская область,Россия
491,Курган,Курганская область,Россия
492,Курганинск,Краснодарский край,Россия
493,Курильск,Сахалинская область,Россия
494,Курлово,Владимирская область,Россия
495,Куровское,Московская область,Россия
496,Курск,Курская область,Россия
497,Куртамыш,Курганская область,Россия
498,Курчатов,Курская область,Россия
499,Куса,Челябинская область,Россия
500,Кушва,Свердловская область,Россия
501,Кызыл,Тува,Россия
502,Кыштым,Челябинская область,Россия
503,Кяхта,Бурятия,Россия
504,Лабинск,Краснодарский край,Россия
505,Лабытнанги,Ямало-Ненецкий автономный округ,Россия
506,Лагань,Калмыкия,Россия
507,Ладушкин,Калининградская область,Россия
508,Лаишево,Татарстан,Россия
509,Лакинск,Владимирская область,Россия
510,Лангепас,Ханты-Мансийский автономный округ,Россия
511,Лахденпохья,Карелия,Россия
512,Лебедянь,Липецкая область,Россия
513,Лениногорск,Татарстан,Россия
514,Ленинск,Волгоградская область,Россия
515,Ленинск-Кузнецкий,Кемеровская область,Россия
516,Ленск,Якутия,Россия
517,Лермонтов,Ставропольский край,Россия
518,Лесной,Свердловская область,Россия
519,Лесозаводск,Приморский край,Россия
520,Лесосибирск,Красноярский край,Россия
521,Ливны,Орловская область,Россия
522,Ликино-Дулёво,Московская область,Россия
523,Липецк,Липецкая область,Россия
524,Липки,Тульская область,Россия
525,Лиски,Воронежская область,Россия
526,Лихославль,Тверская область,Россия
527,Лобня,Московская область,Россия
528,Лодейное Поле,Ленинградская область,Россия
529,Ломоносов,Город Санкт-Петербург,Россия
530,Лосино-Петровский,Московская область,Россия
531,Луга,Ленинградская область,Россия
532,Луза,Кировская область,Россия
533,Лукоянов,Нижегородская область,Россия
534,Луховицы,Московская область,Россия
535,Лысково,Нижегородская область,Россия
536,Лысьва,Пермский край,Россия
537,Лыткарино,Московская область,Россия
538,Льгов,Курская область,Россия
539,Любань,Ленинградская область,Россия
540,Люберцы,Московская область,Россия
541,Любим,Ярославская область,Россия
542,Людиново,Калужская область,Россия
543,Лянтор,Ханты-Мансийский автономный округ,Россия
544,Магадан,Магаданская область,Россия
545,Магас,Ингушетия,Россия
546,Магнитогорск,Челябинская область,Россия
547,Майкоп,Адыгея,Россия
548,Майский,Кабардино-Балкария,Россия
549,Макаров,Сахалинская область,Россия
550,Макарьев,Костромская область,Россия
551,Макушино,Курганская область,Россия
552,Малая Вишера,Новгородская область,Россия
553,Малгобек,Ингушетия,Россия
554,Малмыж,Кировская область,Россия
555,Малоархангельск,Орловская область,Россия
556,Малоярославец,Калужская область,Россия
557,Мамадыш,Татарстан,Россия
558,Мамоново,Калининградская область,Россия
559,Мантурово,Костромская область,Россия
560,Мариинск,Кемеровская область,Россия
561,Мариинский Посад,Чувашия,Россия
562,Маркс,Саратовская область,Россия
563,Махачкала,Дагестан,Россия
564,Мглин,Брянская область,Россия
565,Мегион,Ханты-Мансийский автономный округ - Югра,Россия
566,Медвежьегорск,Карелия,Россия
567,Медногорск,Оренбургская область,Россия
568,Медынь,Калужская область,Россия
569,Межгорье,Башкортостан,Россия
570,Междуреченск,Кемеровская область,Россия
571,Мезень,Архангельская область,Россия
572,Меленки,Владимирская область,Россия
